日期维度,业务大类,业务,产品,城市,金额区间,交易笔数,交易金额
2025/3/1,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,39,80169.5
2025/3/1,惠居,省心租,聚分期,西安,c 1000-5000,1,2200
2025/3/1,惠居,省心租,微信APP,西安,c 1000-5000,1,1050
2025/3/1,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,33,73793.6
2025/3/1,惠居,省心租,快捷,西安,c 1000-5000,12,26708.4
2025/3/1,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,7,45773
2025/3/1,惠居,省心租,微信小程序,西安,d 5000-10000,31,223134.32
2025/3/1,惠居,省心租,快捷,西安,d 5000-10000,1,7938
2025/3/1,惠居,省心租,云闪付小程序,西安,d 5000-10000,2,13507.5
2025/3/1,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,3,25596
2025/3/1,惠居,省心租,支付宝APP,西安,d 5000-10000,46,323029.48
2025/3/1,惠居,省心租,支付宝APP,西安,e 10000-20000,5,53325
2025/3/1,惠居,省心租,微信小程序,西安,e 10000-20000,5,53473.2
2025/3/2,惠居,省心租,微信小程序,西安,a <500,5,889.5
2025/3/2,惠居,省心租,贝易转网银转账收款,西安,a <500,2,5
2025/3/2,惠居,省心租,支付宝APP,西安,a <500,3,523.57
2025/3/2,惠居,省心租,微信小程序,西安,b 500-1000,13,8510
2025/3/2,惠居,省心租,支付宝APP,西安,b 500-1000,16,10014.6
2025/3/2,惠居,省心租,贝易转直联收款至银行,西安,b 500-1000,2,1264.13
2025/3/2,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,15,37182.79
2025/3/2,惠居,省心租,微信小程序,西安,c 1000-5000,487,1012739.77
2025/3/2,惠居,省心租,快捷,西安,c 1000-5000,16,32378
2025/3/2,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,8,15043
2025/3/2,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,25,58445.2
2025/3/2,惠居,省心租,云闪付小程序,西安,c 1000-5000,8,17143.58
2025/3/2,惠居,省心租,聚分期,西安,c 1000-5000,1,2041.2
2025/3/2,惠居,省心租,支付宝APP,西安,c 1000-5000,297,626489.07
2025/3/2,惠居,省心租,微信小程序,西安,d 5000-10000,34,232624.72
2025/3/2,惠居,省心租,云闪付小程序,西安,d 5000-10000,1,5775
2025/3/2,惠居,省心租,快捷,西安,d 5000-10000,1,8175
2025/3/2,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,3,20287.2
2025/3/2,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,5,33067.5
2025/3/2,惠居,省心租,支付宝APP,西安,d 5000-10000,47,340079.11
2025/3/2,惠居,省心租,微信APP,西安,d 5000-10000,1,5283
2025/3/2,惠居,省心租,支付宝花呗分期,西安,d 5000-10000,1,7383
2025/3/2,惠居,省心租,微信小程序,西安,e 10000-20000,1,11445
2025/3/2,惠居,省心租,支付宝APP,西安,e 10000-20000,2,23220
2025/3/3,惠居,省心租,支付宝APP,西安,a <500,1,487.2
2025/3/3,惠居,省心租,贝易转网银转账收款,西安,a <500,3,7
2025/3/3,惠居,省心租,微信小程序,西安,a <500,2,539.5
2025/3/3,惠居,省心租,快捷,西安,b 500-1000,1,921
2025/3/3,惠居,省心租,支付宝APP,西安,b 500-1000,5,3812
2025/3/3,惠居,省心租,微信小程序,西安,b 500-1000,7,4802.66
2025/3/3,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,18,44809.16
2025/3/3,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,4,9754.2
2025/3/3,惠居,省心租,支付宝APP,西安,c 1000-5000,264,570123.74
2025/3/3,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,18,34842.7
2025/3/3,惠居,省心租,快捷,西安,c 1000-5000,7,11971.1
2025/3/3,惠居,省心租,云闪付小程序,西安,c 1000-5000,4,8836.5
2025/3/3,惠居,省心租,微信小程序,西安,c 1000-5000,421,861610.08
2025/3/3,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,4,31425
2025/3/3,惠居,省心租,微信小程序,西安,d 5000-10000,30,209191.24
2025/3/3,惠居,省心租,快捷,西安,d 5000-10000,1,7946.1
2025/3/3,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,4,28030.5
2025/3/3,惠居,省心租,聚分期,西安,d 5000-10000,1,7260
2025/3/3,惠居,省心租,支付宝APP,西安,d 5000-10000,28,189109.26
2025/3/3,惠居,省心租,支付宝花呗分期,西安,e 10000-20000,1,10137
2025/3/3,惠居,省心租,微信小程序,西安,e 10000-20000,2,25056
2025/3/3,惠居,省心租,支付宝APP,西安,e 10000-20000,6,71738.76
2025/3/4,惠居,省心租,贝易转网银转账收款,西安,a <500,2,6.1
2025/3/4,惠居,省心租,支付宝APP,西安,a <500,4,664.23
2025/3/4,惠居,省心租,微信小程序,西安,a <500,2,409.2
2025/3/4,惠居,省心租,支付宝花呗分期,西安,a <500,1,266.67
2025/3/4,惠居,省心租,快捷,西安,b 500-1000,2,1400
2025/3/4,惠居,省心租,贝易转网银转账收款,西安,b 500-1000,1,817
2025/3/4,惠居,省心租,支付宝APP,西安,b 500-1000,8,5546
2025/3/4,惠居,省心租,微信小程序,西安,b 500-1000,13,8679
2025/3/4,惠居,省心租,微信APP,西安,c 1000-5000,1,3564
2025/3/4,惠居,省心租,支付宝APP,西安,c 1000-5000,276,590597.17
2025/3/4,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,27,54403.9
2025/3/4,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,27,60142.9
2025/3/4,惠居,省心租,微信小程序,西安,c 1000-5000,393,800587.77
2025/3/4,惠居,省心租,云闪付小程序,西安,c 1000-5000,10,16939.66
2025/3/4,惠居,省心租,快捷,西安,c 1000-5000,8,14781
2025/3/4,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,9,22336
2025/3/4,惠居,省心租,聚分期,西安,c 1000-5000,2,3410
2025/3/4,惠居,省心租,微信小程序,西安,d 5000-10000,27,193055.24
2025/3/4,惠居,省心租,银联线上支付,西安,d 5000-10000,1,6722
2025/3/4,惠居,省心租,微信APP,西安,d 5000-10000,1,5040
2025/3/4,惠居,省心租,快捷,西安,d 5000-10000,1,8424
2025/3/4,惠居,省心租,支付宝APP,西安,d 5000-10000,32,221703.2
2025/3/4,惠居,省心租,云闪付小程序,西安,d 5000-10000,2,12474
2025/3/4,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,7,49665
2025/3/4,惠居,省心租,支付宝花呗分期,西安,d 5000-10000,1,6156
2025/3/4,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,6,40129.2
2025/3/4,惠居,省心租,聚分期,西安,d 5000-10000,1,6318
2025/3/4,惠居,省心租,支付宝APP,西安,e 10000-20000,4,41820
2025/3/4,惠居,省心租,微信小程序,西安,e 10000-20000,2,21780
2025/3/5,惠居,省心租,支付宝APP,西安,a <500,2,675
2025/3/5,惠居,省心租,贝易转网银转账收款,西安,a <500,9,92.5
2025/3/5,惠居,省心租,微信小程序,西安,a <500,3,972.84
2025/3/5,惠居,省心租,快捷,西安,b 500-1000,1,600
2025/3/5,惠居,省心租,支付宝APP,西安,b 500-1000,14,8273
2025/3/5,惠居,省心租,贝易转直联收款至银行,西安,b 500-1000,1,960
2025/3/5,惠居,省心租,微信小程序,西安,b 500-1000,9,5792.66
2025/3/5,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,29,60999
2025/3/5,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,24,55573
2025/3/5,惠居,省心租,支付宝APP,西安,c 1000-5000,282,603056.71
2025/3/5,惠居,省心租,微信小程序,西安,c 1000-5000,457,959566.59
2025/3/5,惠居,省心租,快捷,西安,c 1000-5000,6,12809
2025/3/5,惠居,省心租,云闪付小程序,西安,c 1000-5000,8,16545
2025/3/5,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,9,22333.5
2025/3/5,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,7,43337.7
2025/3/5,惠居,省心租,支付宝APP,西安,d 5000-10000,34,243737.3
2025/3/5,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,5,34938
2025/3/5,惠居,省心租,微信小程序,西安,d 5000-10000,30,197357.29
2025/3/5,惠居,省心租,微信小程序,西安,e 10000-20000,3,32142
2025/3/5,惠居,省心租,贝易转网银转账收款,西安,e 10000-20000,1,10890
2025/3/6,惠居,省心租,快捷,西安,a <500,1,341
2025/3/6,惠居,省心租,微信小程序,西安,a <500,2,310.33
2025/3/6,惠居,省心租,支付宝APP,西安,a <500,3,565
2025/3/6,惠居,省心租,贝易转网银转账收款,西安,a <500,3,7
2025/3/6,惠居,省心租,支付宝APP,西安,b 500-1000,11,7346.67
2025/3/6,惠居,省心租,微信小程序,西安,b 500-1000,7,4609.5
2025/3/6,惠居,省心租,微信小程序,西安,c 1000-5000,447,940345.88
2025/3/6,惠居,省心租,云闪付小程序,西安,c 1000-5000,10,26358
2025/3/6,惠居,省心租,快捷,西安,c 1000-5000,6,9604
2025/3/6,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,27,52612
2025/3/6,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,7,17788.5
2025/3/6,惠居,省心租,微信APP,西安,c 1000-5000,3,6513.33
2025/3/6,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,21,44239.8
2025/3/6,惠居,省心租,支付宝APP,西安,c 1000-5000,277,609485.27
2025/3/6,惠居,省心租,支付宝花呗分期,西安,d 5000-10000,2,16200
2025/3/6,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,5,36895.3
2025/3/6,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,5,31421
2025/3/6,惠居,省心租,云闪付小程序,西安,d 5000-10000,1,6156
2025/3/6,惠居,省心租,支付宝APP,西安,d 5000-10000,37,252891.96
2025/3/6,惠居,省心租,微信小程序,西安,d 5000-10000,25,175707.7
2025/3/6,惠居,省心租,贝易转直联收款至银行,西安,e 10000-20000,1,10368
2025/3/6,惠居,省心租,微信小程序,西安,e 10000-20000,2,20630
2025/3/6,惠居,省心租,支付宝APP,西安,e 10000-20000,2,22842
2025/3/7,惠居,省心租,支付宝APP,西安,a <500,2,703.86
2025/3/7,惠居,省心租,贝易转网银转账收款,西安,a <500,4,12
2025/3/7,惠居,省心租,微信小程序,西安,a <500,4,745.13
2025/3/7,惠居,省心租,支付宝APP,西安,b 500-1000,12,7192.5
2025/3/7,惠居,省心租,微信小程序,西安,b 500-1000,15,10825
2025/3/7,惠居,省心租,微信小程序,西安,c 1000-5000,446,934919.74
2025/3/7,惠居,省心租,支付宝APP,西安,c 1000-5000,256,555932.63
2025/3/7,惠居,省心租,聚分期,西安,c 1000-5000,2,4070
2025/3/7,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,26,55520.88
2025/3/7,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,8,17598
2025/3/7,惠居,省心租,快捷,西安,c 1000-5000,4,6754
2025/3/7,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,32,70731.4
2025/3/7,惠居,省心租,云闪付小程序,西安,c 1000-5000,9,22081.6
2025/3/7,惠居,省心租,支付宝APP,西安,d 5000-10000,35,247006.36
2025/3/7,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,12,81817.84
2025/3/7,惠居,省心租,支付宝花呗分期,西安,d 5000-10000,2,14256
2025/3/7,惠居,省心租,微信小程序,西安,d 5000-10000,28,195632.82
2025/3/7,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,4,29754
2025/3/7,惠居,省心租,快捷,西安,d 5000-10000,1,6867
2025/3/7,惠居,省心租,支付宝APP,西安,e 10000-20000,2,21186
2025/3/7,惠居,省心租,贝易转网银转账收款,西安,e 10000-20000,1,13608
2025/3/7,惠居,省心租,微信小程序,西安,e 10000-20000,2,23577
2025/3/8,惠居,省心租,微信小程序,西安,a <500,5,981.67
2025/3/8,惠居,省心租,支付宝APP,西安,a <500,3,959.34
2025/3/8,惠居,省心租,银联线上支付,西安,a <500,1,481.67
2025/3/8,惠居,省心租,贝易转网银转账收款,西安,a <500,1,3
2025/3/8,惠居,省心租,快捷,西安,b 500-1000,1,510
2025/3/8,惠居,省心租,微信小程序,西安,b 500-1000,8,5250.3
2025/3/8,惠居,省心租,支付宝APP,西安,b 500-1000,15,10029.15
2025/3/8,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,27,62195.8
2025/3/8,惠居,省心租,支付宝APP,西安,c 1000-5000,266,575170.95
2025/3/8,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,5,8615.6
2025/3/8,惠居,省心租,聚分期,西安,c 1000-5000,2,5250
2025/3/8,惠居,省心租,微信小程序,西安,c 1000-5000,406,849994.38
2025/3/8,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,22,45546.18
2025/3/8,惠居,省心租,云闪付小程序,西安,c 1000-5000,9,21272.5
2025/3/8,惠居,省心租,快捷,西安,c 1000-5000,4,8910
2025/3/8,惠居,省心租,支付宝APP,西安,d 5000-10000,27,187438.04
2025/3/8,惠居,省心租,支付宝花呗分期,西安,d 5000-10000,1,6600
2025/3/8,惠居,省心租,微信小程序,西安,d 5000-10000,25,173665.76
2025/3/8,惠居,省心租,聚分期,西安,d 5000-10000,1,7452
2025/3/8,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,3,20802.5
2025/3/8,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,4,26433
2025/3/8,惠居,省心租,支付宝APP,西安,e 10000-20000,1,10949
2025/3/8,惠居,省心租,贝易转直联收款至银行,西安,e 10000-20000,1,10244.88
2025/3/8,惠居,省心租,微信小程序,西安,e 10000-20000,2,21222
2025/3/9,惠居,省心租,微信小程序,西安,a <500,2,280
2025/3/9,惠居,省心租,贝易转网银转账收款,西安,a <500,3,9
2025/3/9,惠居,省心租,支付宝APP,西安,a <500,2,450
2025/3/9,惠居,省心租,微信小程序,西安,b 500-1000,7,4700
2025/3/9,惠居,省心租,支付宝花呗分期,西安,b 500-1000,1,899
2025/3/9,惠居,省心租,支付宝APP,西安,b 500-1000,16,10928.9
2025/3/9,惠居,省心租,贝易转直联收款至银行,西安,b 500-1000,1,600
2025/3/9,惠居,省心租,快捷,西安,b 500-1000,1,755
2025/3/9,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,4,7652
2025/3/9,惠居,省心租,云闪付小程序,西安,c 1000-5000,8,15425
2025/3/9,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,40,85211.9
2025/3/9,惠居,省心租,支付宝APP,西安,c 1000-5000,281,593761.78
2025/3/9,惠居,省心租,微信小程序,西安,c 1000-5000,493,1015242.48
2025/3/9,惠居,省心租,快捷,西安,c 1000-5000,8,15295
2025/3/9,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,21,50269.42
2025/3/9,惠居,省心租,聚分期,西安,c 1000-5000,2,4420
2025/3/9,惠居,省心租,微信APP,西安,c 1000-5000,2,3805
2025/3/9,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,6,42712.5
2025/3/9,惠居,省心租,快捷,西安,d 5000-10000,2,10964.5
2025/3/9,惠居,省心租,微信小程序,西安,d 5000-10000,28,184125.83
2025/3/9,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,2,17676
2025/3/9,惠居,省心租,支付宝APP,西安,d 5000-10000,34,239967.34
2025/3/9,惠居,省心租,支付宝APP,西安,e 10000-20000,5,52410
2025/3/9,惠居,省心租,贝易转网银转账收款,西安,e 10000-20000,3,31689
2025/3/9,惠居,省心租,微信小程序,西安,e 10000-20000,2,21780
2025/3/10,惠居,省心租,支付宝APP,西安,a <500,1,100
2025/3/10,惠居,省心租,贝易转网银转账收款,西安,a <500,10,28
2025/3/10,惠居,省心租,微信小程序,西安,a <500,6,1034.66
2025/3/10,惠居,省心租,支付宝APP,西安,b 500-1000,11,8032.06
2025/3/10,惠居,省心租,微信小程序,西安,b 500-1000,15,10867
2025/3/10,惠居,省心租,微信小程序,西安,c 1000-5000,541,1107256.68
2025/3/10,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,47,106606.96
2025/3/10,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,7,13640
2025/3/10,惠居,省心租,快捷,西安,c 1000-5000,10,19455.6
2025/3/10,惠居,省心租,支付宝APP,西安,c 1000-5000,433,928345.71
2025/3/10,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,50,100834.2
2025/3/10,惠居,省心租,聚分期,西安,c 1000-5000,1,2585
2025/3/10,惠居,省心租,云闪付小程序,西安,c 1000-5000,10,25391.9
2025/3/10,惠居,省心租,快捷,西安,d 5000-10000,2,14418
2025/3/10,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,7,52719
2025/3/10,惠居,省心租,微信小程序,西安,d 5000-10000,35,243612.27
2025/3/10,惠居,省心租,支付宝APP,西安,d 5000-10000,50,363565.53
2025/3/10,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,5,37987.5
2025/3/10,惠居,省心租,支付宝花呗分期,西安,d 5000-10000,1,5610
2025/3/10,惠居,省心租,云闪付小程序,西安,d 5000-10000,2,16200
2025/3/10,惠居,省心租,微信小程序,西安,e 10000-20000,2,20697
2025/3/10,惠居,省心租,支付宝APP,西安,e 10000-20000,4,41664
2025/3/11,惠居,省心租,贝易转网银转账收款,西安,a <500,2,6
2025/3/11,惠居,省心租,微信小程序,西安,a <500,1,495
2025/3/11,惠居,省心租,支付宝APP,西安,a <500,4,1074.66
2025/3/11,惠居,省心租,贝易转网银转账收款,西安,b 500-1000,1,500
2025/3/11,惠居,省心租,支付宝APP,西安,b 500-1000,9,5782
2025/3/11,惠居,省心租,快捷,西安,b 500-1000,1,500
2025/3/11,惠居,省心租,贝易转直联收款至银行,西安,b 500-1000,2,1300
2025/3/11,惠居,省心租,微信小程序,西安,b 500-1000,12,7875
2025/3/11,惠居,省心租,聚分期,西安,c 1000-5000,2,4510
2025/3/11,惠居,省心租,快捷,西安,c 1000-5000,10,21698
2025/3/11,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,37,88885.3
2025/3/11,惠居,省心租,云闪付小程序,西安,c 1000-5000,10,22365.7
2025/3/11,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,6,12412.9
2025/3/11,惠居,省心租,微信小程序,西安,c 1000-5000,476,1004988.4
2025/3/11,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,29,61824.3
2025/3/11,惠居,省心租,支付宝APP,西安,c 1000-5000,294,620878.13
2025/3/11,惠居,省心租,支付宝花呗分期,西安,d 5000-10000,1,7128
2025/3/11,惠居,省心租,支付宝APP,西安,d 5000-10000,29,206129.2
2025/3/11,惠居,省心租,微信小程序,西安,d 5000-10000,28,212301.4
2025/3/11,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,7,48785.73
2025/3/11,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,7,47505
2025/3/11,惠居,省心租,快捷,西安,d 5000-10000,1,6600
2025/3/11,惠居,省心租,微信小程序,西安,e 10000-20000,1,10137
2025/3/11,惠居,省心租,支付宝APP,西安,e 10000-20000,2,23198.4
2025/3/11,惠居,省心租,贝易转直联收款至银行,西安,e 10000-20000,1,11550
2025/3/11,惠居,省心租,微信小程序,西安,f 20000-50000,1,23976
2025/3/12,惠居,省心租,支付宝APP,西安,a <500,2,477
2025/3/12,惠居,省心租,微信小程序,西安,a <500,7,1945
2025/3/12,惠居,省心租,贝易转网银转账收款,西安,a <500,4,11
2025/3/12,惠居,省心租,微信APP,西安,b 500-1000,1,500
2025/3/12,惠居,省心租,云闪付小程序,西安,b 500-1000,1,728
2025/3/12,惠居,省心租,微信小程序,西安,b 500-1000,6,4217
2025/3/12,惠居,省心租,支付宝APP,西安,b 500-1000,7,3876.25
2025/3/12,惠居,省心租,支付宝花呗分期,西安,b 500-1000,2,1336
2025/3/12,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,34,70843.9
2025/3/12,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,5,11616
2025/3/12,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,26,63947.1
2025/3/12,惠居,省心租,云闪付小程序,西安,c 1000-5000,26,48295
2025/3/12,惠居,省心租,支付宝APP,西安,c 1000-5000,285,621270.75
2025/3/12,惠居,省心租,微信小程序,西安,c 1000-5000,470,982780.41
2025/3/12,惠居,省心租,快捷,西安,c 1000-5000,3,8350.4
2025/3/12,惠居,省心租,支付宝花呗分期,西安,d 5000-10000,1,6867
2025/3/12,惠居,省心租,微信小程序,西安,d 5000-10000,21,141427.3
2025/3/12,惠居,省心租,云闪付小程序,西安,d 5000-10000,1,8514
2025/3/12,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,3,17706
2025/3/12,惠居,省心租,快捷,西安,d 5000-10000,3,22362
2025/3/12,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,3,19975.5
2025/3/12,惠居,省心租,支付宝APP,西安,d 5000-10000,31,222286.88
2025/3/12,惠居,省心租,支付宝APP,西安,e 10000-20000,2,21870
2025/3/12,惠居,省心租,微信小程序,西安,e 10000-20000,2,21351
2025/3/13,惠居,省心租,微信小程序,西安,a <500,2,333.34
2025/3/13,惠居,省心租,支付宝APP,西安,a <500,3,1012.4
2025/3/13,惠居,省心租,贝易转网银转账收款,西安,a <500,6,17
2025/3/13,惠居,省心租,贝易转直联收款至银行,西安,b 500-1000,1,836
2025/3/13,惠居,省心租,微信小程序,西安,b 500-1000,10,7304
2025/3/13,惠居,省心租,贝易转网银转账收款,西安,b 500-1000,1,693
2025/3/13,惠居,省心租,云闪付小程序,西安,b 500-1000,1,815
2025/3/13,惠居,省心租,支付宝APP,西安,b 500-1000,12,7305
2025/3/13,惠居,省心租,云闪付小程序,西安,c 1000-5000,37,77552.6
2025/3/13,惠居,省心租,银联线上支付,西安,c 1000-5000,1,1400
2025/3/13,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,5,11451
2025/3/13,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,22,42323
2025/3/13,惠居,省心租,聚分期,西安,c 1000-5000,1,1695
2025/3/13,惠居,省心租,微信小程序,西安,c 1000-5000,432,918980.87
2025/3/13,惠居,省心租,支付宝APP,西安,c 1000-5000,252,547915.71
2025/3/13,惠居,省心租,快捷,西安,c 1000-5000,6,12782.9
2025/3/13,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,18,46824
2025/3/13,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,2,14877
2025/3/13,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,2,14580
2025/3/13,惠居,省心租,云闪付小程序,西安,d 5000-10000,4,23261.7
2025/3/13,惠居,省心租,微信小程序,西安,d 5000-10000,21,143455.2
2025/3/13,惠居,省心租,支付宝花呗分期,西安,d 5000-10000,1,7848
2025/3/13,惠居,省心租,支付宝APP,西安,d 5000-10000,34,247501.51
2025/3/13,惠居,省心租,微信小程序,西安,e 10000-20000,2,24090
2025/3/13,惠居,省心租,支付宝APP,西安,e 10000-20000,1,10044
2025/3/14,惠居,省心租,微信小程序,西安,a <500,3,990
2025/3/14,惠居,省心租,支付宝APP,西安,a <500,3,698
2025/3/14,惠居,省心租,贝易转网银转账收款,西安,a <500,2,5
2025/3/14,惠居,省心租,云闪付小程序,西安,b 500-1000,1,500
2025/3/14,惠居,省心租,贝易转网银转账收款,西安,b 500-1000,1,900
2025/3/14,惠居,省心租,微信小程序,西安,b 500-1000,14,9845.53
2025/3/14,惠居,省心租,贝易转直联收款至银行,西安,b 500-1000,1,870
2025/3/14,惠居,省心租,支付宝APP,西安,b 500-1000,10,7448.52
2025/3/14,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,22,48433.43
2025/3/14,惠居,省心租,微信APP,西安,c 1000-5000,1,1124
2025/3/14,惠居,省心租,支付宝APP,西安,c 1000-5000,368,774851.09
2025/3/14,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,29,61965.3
2025/3/14,惠居,省心租,微信小程序,西安,c 1000-5000,532,1120414.76
2025/3/14,惠居,省心租,聚分期,西安,c 1000-5000,1,2088.9
2025/3/14,惠居,省心租,快捷,西安,c 1000-5000,10,19215.2
2025/3/14,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,6,10165
2025/3/14,惠居,省心租,云闪付小程序,西安,c 1000-5000,51,106437.1
2025/3/14,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,6,45161
2025/3/14,惠居,省心租,支付宝APP,西安,d 5000-10000,36,260786
2025/3/14,惠居,省心租,快捷,西安,d 5000-10000,3,22860
2025/3/14,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,9,59820.6
2025/3/14,惠居,省心租,微信小程序,西安,d 5000-10000,26,180755.9
2025/3/14,惠居,省心租,云闪付小程序,西安,d 5000-10000,5,40012.76
2025/3/14,惠居,省心租,支付宝花呗分期,西安,e 10000-20000,1,12960
2025/3/14,惠居,省心租,微信小程序,西安,e 10000-20000,1,10044
2025/3/14,惠居,省心租,支付宝APP,西安,e 10000-20000,3,31472.4
2025/3/15,惠居,省心租,支付宝APP,西安,a <500,4,1240.85
2025/3/15,惠居,省心租,微信小程序,西安,a <500,7,1823.2
2025/3/15,惠居,省心租,贝易转网银转账收款,西安,a <500,7,29.53
2025/3/15,惠居,省心租,支付宝花呗分期,西安,b 500-1000,2,1150
2025/3/15,惠居,省心租,微信小程序,西安,b 500-1000,9,5801.1
2025/3/15,惠居,省心租,支付宝APP,西安,b 500-1000,18,12005.5
2025/3/15,惠居,省心租,支付宝花呗分期,西安,c 1000-5000,9,21158.9
2025/3/15,惠居,省心租,微信APP,西安,c 1000-5000,1,1990
2025/3/15,惠居,省心租,贝易转直联收款至银行,西安,c 1000-5000,28,56680.82
2025/3/15,惠居,省心租,微信小程序,西安,c 1000-5000,598,1227150.28
2025/3/15,惠居,省心租,贝易转网银转账收款,西安,c 1000-5000,40,81956
2025/3/15,惠居,省心租,快捷,西安,c 1000-5000,14,28359.5
2025/3/15,惠居,省心租,云闪付小程序,西安,c 1000-5000,57,113359.2
2025/3/15,惠居,省心租,银联线上支付,西安,c 1000-5000,1,1373.33
2025/3/15,惠居,省心租,支付宝APP,西安,c 1000-5000,355,748749.24
2025/3/15,惠居,省心租,聚分期,西安,c 1000-5000,1,2365
2025/3/15,惠居,省心租,贝易转网银转账收款,西安,d 5000-10000,2,12466.33
2025/3/15,惠居,省心租,支付宝APP,西安,d 5000-10000,27,194324.27
2025/3/15,惠居,省心租,贝易转直联收款至银行,西安,d 5000-10000,5,32209.2
2025/3/15,惠居,省心租,快捷,西安,d 5000-10000,1,9240
2025/3/15,惠居,省心租,微信小程序,西安,d 5000-10000,31,210539.16
2025/3/15,惠居,省心租,云闪付小程序,西安,d 5000-10000,1,6630
2025/3/15,惠居,省心租,微信小程序,西安,e 10000-20000,2,26568
2025/3/15,惠居,省心租,支付宝APP,西安,e 10000-20000,2,20724
2025/3/16,惠居,省心租,微信小程序,西安,a <500,4,1156.57
2025/3/16,惠居,省心租,支付宝APP,西安,a <500,4,1461
2025/3/16,惠居,省心租,微信APP,西安,a <500,1,260
2025/3/16,惠居,省心租,贝易转网银转账收款,西安,a <500,2,15
2025/3/16,惠居,省心租,快捷,西安,b 500-1000,1,650
2025/3/16,惠居,省心租,微信小程序,西安,b 500-1000,18,12255
2025/3/16,惠居,省心租,支付宝APP,西安,b 500-1000,12,7393
2025/3/16,惠居,省心租,云闪付小程序,西安,c 1000-5000,45,102169.16
2025/3/16,惠居,省心租,微信APP,西安,c 1000-5000,1,1100
